agent_name	grounding	other_mapping	cui
TNFRSF11B	('HGNC', '11909')	{'UP': 'O00300', 'EGID': '4982', 'MESH': 'C506030', 'HGNC': '11909', 'TEXT': 'OPG'}	C1412836
TNFRSF25	('HGNC', '11910')	{'UP': 'Q93038', 'TEXT': 'DR3', 'EGID': '8718', 'MESH': 'C506033', 'HGNC': '11910'}	C1420806
TNFSF10	('HGNC', '11925')	{'UP': 'P50591', 'EGID': '8743', 'MESH': 'C505653', 'HGNC': '11925', 'TEXT': 'TRAIL'}	C1143949
TNFSF11	('HGNC', '11926')	{'UP': 'O14788', 'MESH': 'C505688', 'HGNC': '11926', 'EGID': '8600', 'TEXT': 'RANKL'}	C0666361
TP53	('HGNC', '11998')	{'UP': 'P04637', 'TEXT': 'p-p53', 'EGID': '7157', 'HGNC': '11998', 'MESH': 'C495901'}	C0079419
TP53	('HGNC', '11998')	{'UP': 'P04637', 'EGID': '7157', 'HGNC': '11998', 'MESH': 'C495901', 'TEXT': 'p53'}	C0079419
TRAF1	('HGNC', '12031')	{'UP': 'Q13077', 'TEXT': 'TNF receptor associated factor 1', 'EGID': '7185', 'MESH': 'D047990', 'HGNC': '12031'}	C0258439
TSC2	('HGNC', '12363')	{'UP': 'P49815', 'MESH': 'C000624653', 'HGNC': '12363', 'EGID': '7249', 'TEXT': 'TSC2'}	C0291147
TTR	('HGNC', '12405')	{'UP': 'P02766', 'TEXT': 'CTS', 'MESH': 'C000630214', 'HGNC': '12405', 'EGID': '7276'}	C0007286
TYR	('HGNC', '12442')	{'UP': 'P14679', 'TEXT': 'tyrosinase', 'EGID': '7299', 'HGNC': '12442', 'MESH': 'D014442'}	C0041484
UCP1	('HGNC', '12517')	{'UP': 'P25874', 'TEXT': 'UCP-1', 'HGNC': '12517', 'EGID': '7350', 'MESH': 'C000604371'}	C1505937
UCP1	('HGNC', '12517')	{'UP': 'P25874', 'TEXT': 'UCP1', 'HGNC': '12517', 'EGID': '7350', 'MESH': 'C000604371'}	C1505937
UGT1A1	('HGNC', '12530')	{'UP': 'P22309', 'TEXT': 'UGT1A1', 'EGID': '54658', 'HGNC': '12530'}	C4284131
UGT1A1	('HGNC', '12530')	{'UP': 'P22309', 'TEXT': 'UGT1A', 'EGID': '54658', 'HGNC': '12530'}	C4284131
UGT1A10	('HGNC', '12531')	{'UP': 'Q9HAW8', 'TEXT': 'UGT1A10', 'EGID': '54575', 'HGNC': '12531'}	C1311129
UGT1A6	('HGNC', '12538')	{'UP': 'P19224', 'TEXT': 'UGT1A6', 'EGID': '54578', 'HGNC': '12538'}	C1421330
UGT1A8	('HGNC', '12540')	{'UP': 'Q9HAW9', 'TEXT': 'UGT1A8', 'HGNC': '12540', 'EGID': '54576'}	C1122343
UGT1A9	('HGNC', '12541')	{'UP': 'O60656', 'TEXT': 'UGT1A9', 'EGID': '54600', 'HGNC': '12541'}	C1421333
VDR	('HGNC', '12679')	{'UP': 'P11473', 'TEXT': 'vitamin D receptor', 'MESH': 'C579457', 'EGID': '7421', 'HGNC': '12679'}	C3657722
VDR	('HGNC', '12679')	{'UP': 'P11473', 'TEXT': 'VDR', 'MESH': 'C579457', 'EGID': '7421', 'HGNC': '12679'}	C3657722
VEGFA	('HGNC', '12680')	{'UP': 'P15692', 'MESH': 'C467484', 'EGID': '7422', 'HGNC': '12680', 'TEXT': 'VEGF-A'}	C1823619
TRPV1	('HGNC', '12716')	{'UP': 'Q8NER1', 'TEXT': 'TRPV1', 'HGNC': '12716', 'MESH': 'C494482', 'EGID': '7442'}	C1421467
WAS	('HGNC', '12731')	{'UP': 'P42768', 'TEXT': 'THC', 'HGNC': '12731', 'EGID': '7454', 'MESH': 'C495767'}	C0039663
XK	('HGNC', '12811')	{'UP': 'P51811', 'TEXT': 'NA', 'HGNC': '12811', 'EGID': '7504', 'MESH': 'C087883'}	C1879645
XK	('HGNC', '12811')	{'UP': 'P51811', 'TEXT': 'Na', 'HGNC': '12811', 'EGID': '7504', 'MESH': 'C087883'}	C1879645
XPNPEP1	('HGNC', '12822')	{'UP': 'Q9NQW7', 'TEXT': 'SAMP', 'HGNC': '12822', 'EGID': '7511'}	C0617347
ZFP36	('HGNC', '12862')	{'UP': 'P26651', 'TEXT': 'TTP', 'MESH': 'C497552', 'EGID': '7538', 'HGNC': '12862'}	C0084795
ZFP36	('HGNC', '12862')	{'UP': 'P26651', 'TEXT': 'tristetraprolin', 'MESH': 'C497552', 'EGID': '7538', 'HGNC': '12862'}	C0084795
C4A	('HGNC', '1323')	{'UP': 'P0C0L4', 'TEXT': 'RG', 'EGID': '720', 'HGNC': '1323', 'MESH': 'D015934'}	C1412999
SLC38A1	('HGNC', '13447')	{'UP': 'Q9H2H9', 'TEXT': 'Slc38a1', 'MESH': 'C445761', 'EGID': '81539', 'HGNC': '13447'}	C1421999
SLC38A1	('HGNC', '13447')	{'UP': 'Q9H2H9', 'TEXT': 'SLC38A1', 'MESH': 'C445761', 'EGID': '81539', 'HGNC': '13447'}	C1421999
SLC38A1	('HGNC', '13447')	{'UP': 'Q9H2H9', 'TEXT': 'slc38a1', 'MESH': 'C445761', 'EGID': '81539', 'HGNC': '13447'}	C1421999
ACE2	('HGNC', '13557')	{'UP': 'Q9BYF1', 'TEXT': 'ACE2', 'EGID': '59272', 'HGNC': '13557'}	C1422064
ADIPOQ	('HGNC', '13633')	{'UP': 'Q15848', 'MESH': 'C499918', 'EGID': '9370', 'HGNC': '13633', 'TEXT': 'adiponectin'}	C0389071
ADIPOQ	('HGNC', '13633')	{'UP': 'Q15848', 'TEXT': 'Adiponectin', 'MESH': 'C499918', 'EGID': '9370', 'HGNC': '13633'}	C0389071
CA1	('HGNC', '1368')	{'UP': 'P00915', 'TEXT': 'CA1', 'HGNC': '1368', 'MESH': 'D024401', 'EGID': '759'}	C0064494
CA2	('HGNC', '1373')	{'UP': 'P00918', 'TEXT': 'Ca2', 'HGNC': '1373', 'MESH': 'C000629674', 'EGID': '760'}	C0596235
CACNA1D	('HGNC', '1391')	{'UP': 'Q01668', 'TEXT': 'CACNA1D', 'MESH': 'C472073', 'EGID': '776', 'HGNC': '1391'}	C1413058
CACNA1H	('HGNC', '1395')	{'UP': 'O95180', 'TEXT': 'Cav3.2', 'MESH': 'C479952', 'HGNC': '1395', 'EGID': '8912'}	C1413062
CALR	('HGNC', '1455')	{'UP': 'P27797', 'TEXT': 'calreticulin', 'MESH': 'D037282', 'HGNC': '1455', 'EGID': '811'}	C0035826
CALR	('HGNC', '1455')	{'UP': 'P27797', 'TEXT': 'RO', 'MESH': 'D037282', 'HGNC': '1455', 'EGID': '811'}	C0035826
CAMKK2	('HGNC', '1470')	{'UP': 'Q96RR4', 'TEXT': 'CaMKK', 'HGNC': '1470', 'MESH': 'C517698', 'EGID': '10645'}	C0383017
CANX	('HGNC', '1473')	{'UP': 'P27824', 'TEXT': 'Calnexin', 'MESH': 'C000655024', 'EGID': '821', 'HGNC': '1473'}	C0108187
CASP14	('HGNC', '1502')	{'UP': 'P31944', 'TEXT': 'Mice', 'MESH': 'C506446', 'EGID': '23581', 'HGNC': '1502'}	C0026809
CASP3	('HGNC', '1504')	{'UP': 'P42574', 'HGNC': '1504', 'MESH': 'C505407', 'EGID': '836', 'TEXT': 'caspase 3'}	C0291573
CASP3	('HGNC', '1504')	{'UP': 'P42574', 'HGNC': '1504', 'MESH': 'C505407', 'EGID': '836', 'TEXT': 'Caspase-3'}	C0291573
CASP3	('HGNC', '1504')	{'UP': 'P42574', 'HGNC': '1504', 'MESH': 'C505407', 'EGID': '836', 'TEXT': 'caspase-3'}	C0291573
CASP4	('HGNC', '1505')	{'UP': 'P49662', 'TEXT': 'Caspase-4', 'HGNC': '1505', 'EGID': '837', 'MESH': 'C093516'}	C1437927
CASP8	('HGNC', '1509')	{'UP': 'Q14790', 'TEXT': 'Caspase-8', 'HGNC': '1509', 'MESH': 'C505530', 'EGID': '841'}	C0667830
CASP8	('HGNC', '1509')	{'UP': 'Q14790', 'HGNC': '1509', 'MESH': 'C505530', 'EGID': '841', 'TEXT': 'caspase-8'}	C0667830
CASP9	('HGNC', '1511')	{'UP': 'P55211', 'TEXT': 'Caspase-9', 'EGID': '842', 'MESH': 'C506433', 'HGNC': '1511'}	C0910167
CASP9	('HGNC', '1511')	{'UP': 'P55211', 'EGID': '842', 'MESH': 'C506433', 'HGNC': '1511', 'TEXT': 'caspase-9'}	C0910167
CAT	('HGNC', '1516')	{'UP': 'P04040', 'MESH': 'C577219', 'HGNC': '1516', 'EGID': '847', 'TEXT': 'catalase'}	C0007450
CAT	('HGNC', '1516')	{'UP': 'P04040', 'TEXT': 'CAT', 'MESH': 'C577219', 'HGNC': '1516', 'EGID': '847'}	C0007450
CBR1	('HGNC', '1548')	{'UP': 'P16152', 'TEXT': 'CBR', 'HGNC': '1548', 'MESH': 'C531129', 'EGID': '873'}	C1413154
CBR1	('HGNC', '1548')	{'UP': 'P16152', 'TEXT': 'CBR1', 'HGNC': '1548', 'MESH': 'C531129', 'EGID': '873'}	C1413154
CBR1	('HGNC', '1548')	{'UP': 'P16152', 'TEXT': 'CBR-', 'HGNC': '1548', 'MESH': 'C531129', 'EGID': '873'}	C1413154
CBR3	('HGNC', '1549')	{'UP': 'O75828', 'TEXT': 'CBR3', 'EGID': '874', 'MESH': 'C531130', 'HGNC': '1549'}	C1413155
PHIP	('HGNC', '15673')	{'UP': 'Q8WWQ0', 'TEXT': 'PhIP', 'MESH': 'C418612', 'HGNC': '15673', 'EGID': '55023'}	C0045811
PRPF6	('HGNC', '15860')	{'UP': 'O94906', 'TEXT': 'ant1', 'EGID': '24148', 'MESH': 'C408605', 'HGNC': '15860'}	C1826706
SPEF1	('HGNC', '15874')	{'UP': 'Q9Y4P9', 'TEXT': 'clamp', 'EGID': '25876', 'HGNC': '15874'}	C0175721
PCNT	('HGNC', '16068')	{'UP': 'O95613', 'TEXT': 'PCN', 'HGNC': '16068', 'EGID': '5116'}	C4050150
MAML2	('HGNC', '16259')	{'UP': 'Q8IZL2', 'TEXT': 'MAML2', 'HGNC': '16259', 'MESH': 'C471297', 'EGID': '84441'}	C1424132
SLC22A9	('HGNC', '16261')	{'UP': 'Q8IVM8', 'TEXT': 'OAT4', 'HGNC': '16261', 'EGID': '114571', 'MESH': 'C498886'}	C1425326
SLC22A9	('HGNC', '16261')	{'UP': 'Q8IVM8', 'TEXT': 'hOAT4', 'HGNC': '16261', 'EGID': '114571', 'MESH': 'C498886'}	C1425326
TRIM9	('HGNC', '16288')	{'UP': 'Q9C026', 'TEXT': 'Spring', 'EGID': '114088', 'MESH': 'C550446', 'HGNC': '16288'}	C1705204
CD36	('HGNC', '1663')	{'UP': 'P16671', 'TEXT': 'CD36', 'HGNC': '1663', 'EGID': '948', 'MESH': 'C000628671'}	C3887682
CD44	('HGNC', '1681')	{'UP': 'P16070', 'TEXT': 'in-', 'MESH': 'C497483', 'HGNC': '1681', 'EGID': '960'}	C1097299
CD44	('HGNC', '1681')	{'UP': 'P16070', 'MESH': 'C497483', 'HGNC': '1681', 'EGID': '960', 'TEXT': 'CD44'}	C1097299
SLC39A4	('HGNC', '17129')	{'UP': 'Q6P5W5', 'TEXT': 'Zip4', 'HGNC': '17129', 'MESH': 'C486791', 'EGID': '55630'}	C1434703
RNF34	('HGNC', '17297')	{'UP': 'Q969K3', 'TEXT': 'Rif', 'EGID': '80196', 'HGNC': '17297', 'MESH': 'C461219'}	C0035608
SMR3B	('HGNC', '17326')	{'UP': 'P02814', 'TEXT': 'Pb', 'HGNC': '17326', 'MESH': 'C408143', 'EGID': '10879'}	C1415801
SMR3B	('HGNC', '17326')	{'UP': 'P02814', 'TEXT': 'PB-', 'HGNC': '17326', 'MESH': 'C408143', 'EGID': '10879'}	C1415801
BANF1	('HGNC', '17397')	{'UP': 'O75531', 'TEXT': 'baf', 'HGNC': '17397', 'EGID': '8815', 'MESH': 'C501959'}	C1424954
CDIPT	('HGNC', '1769')	{'UP': 'O14735', 'TEXT': 'PIs', 'EGID': '10423', 'MESH': 'C496766', 'HGNC': '1769'}	C1413284
CDK2	('HGNC', '1771')	{'UP': 'P24941', 'EGID': '1017', 'MESH': 'C495894', 'HGNC': '1771', 'TEXT': 'CDK2'}	C0108855
TNMD	('HGNC', '17757')	{'UP': 'Q9H2S6', 'TEXT': 'TEM', 'HGNC': '17757', 'MESH': 'C422444', 'EGID': '64102'}	C3714516
TNMD	('HGNC', '17757')	{'UP': 'Q9H2S6', 'TEXT': 'tem', 'HGNC': '17757', 'MESH': 'C422444', 'EGID': '64102'}	C3714516
CDKN1A	('HGNC', '1784')	{'UP': 'P38936', 'MESH': 'C493956', 'HGNC': '1784', 'EGID': '1026', 'TEXT': 'p21'}	C0249197
CDS1	('HGNC', '1800')	{'UP': 'Q92903', 'TEXT': 'CDs', 'HGNC': '1800', 'EGID': '1040', 'MESH': 'C000622211'}	C0079141
SLC2A12	('HGNC', '18067')	{'UP': 'Q8TD20', 'TEXT': 'GLUT12', 'HGNC': '18067', 'EGID': '154091', 'MESH': 'C449579'}	C1425278
TRPV4	('HGNC', '18083')	{'UP': 'Q9HBA0', 'TEXT': 'TRPV4', 'EGID': '59341', 'MESH': 'C416986', 'HGNC': '18083'}	C0962567
TRPV3	('HGNC', '18084')	{'UP': 'Q8NET8', 'TEXT': 'TRPV3', 'HGNC': '18084', 'MESH': 'C459445', 'EGID': '162514'}	C1425292
ACOT11	('HGNC', '18156')	{'UP': 'Q8WXI4', 'TEXT': 'thea', 'MESH': 'C499088', 'HGNC': '18156', 'EGID': '26027'}	C0543468
ACOT11	('HGNC', '18156')	{'UP': 'Q8WXI4', 'TEXT': 'Thea', 'MESH': 'C499088', 'HGNC': '18156', 'EGID': '26027'}	C0543468
RNF130	('HGNC', '18280')	{'UP': 'Q86XS8', 'TEXT': 'GP', 'MESH': 'C511931', 'HGNC': '18280', 'EGID': '55819'}	C3811116
RNF130	('HGNC', '18280')	{'UP': 'Q86XS8', 'TEXT': 'gp', 'MESH': 'C511931', 'HGNC': '18280', 'EGID': '55819'}	C3811116
CEBPA	('HGNC', '1833')	{'UP': 'P49715', 'TEXT': 'C/EBPa', 'MESH': 'C515848', 'HGNC': '1833', 'EGID': '1050'}	C0108685
CFTR	('HGNC', '1884')	{'UP': 'P13569', 'TEXT': 'CFTR', 'HGNC': '1884', 'EGID': '1080', 'MESH': 'C505032'}	C0009738
CFTR	('HGNC', '1884')	{'UP': 'P13569', 'TEXT': 'cystic fibrosis transmembrane conductance regulator', 'HGNC': '1884', 'EGID': '1080', 'MESH': 'C505032'}	C0009738
CFTR	('HGNC', '1884')	{'UP': 'P13569', 'TEXT': 'CF', 'HGNC': '1884', 'EGID': '1080', 'MESH': 'C505032'}	C0009738
DDX58	('HGNC', '19102')	{'UP': 'O95786', 'EGID': '23586', 'MESH': 'C452820', 'HGNC': '19102', 'TEXT': 'RIG-I'}	C1310468
CYCS	('HGNC', '19986')	{'UP': 'P99999', 'HGNC': '19986', 'EGID': '54205', 'TEXT': 'cytochrome c'}	C0010749
CYCS	('HGNC', '19986')	{'UP': 'P99999', 'TEXT': 'Cytochrome  c', 'HGNC': '19986', 'EGID': '54205'}	C0010749
PAOX	('HGNC', '20837')	{'UP': 'Q6QHF9', 'TEXT': 'PAO', 'HGNC': '20837', 'EGID': '196743'}	C1427155
MYLIP	('HGNC', '21155')	{'UP': 'Q8WY64', 'TEXT': 'idol', 'MESH': 'C403126', 'HGNC': '21155', 'EGID': '29116'}	C1427370
ANO1	('HGNC', '21625')	{'UP': 'Q5XXA6', 'TEXT': 'TMEM16A', 'MESH': 'C476213', 'HGNC': '21625', 'EGID': '55107'}	C1427656
COL2A1	('HGNC', '2200')	{'UP': 'P02458', 'TEXT': 'AOM', 'EGID': '1280', 'HGNC': '2200', 'MESH': 'C499177'}	C2020284
CASC2	('HGNC', '22933')	{'UP': 'Q6XLA1', 'TEXT': 'CASC2', 'HGNC': '22933', 'EGID': '255082'}	C1427789
CP	('HGNC', '2295')	{'UP': 'P00450', 'TEXT': 'CP', 'HGNC': '2295', 'EGID': '1356', 'MESH': 'D002570'}	C0007841
CPE	('HGNC', '2303')	{'UP': 'P16870', 'TEXT': 'CPE', 'EGID': '1363', 'MESH': 'D043423', 'HGNC': '2303'}	C0054757
KEAP1	('HGNC', '23177')	{'UP': 'Q14145', 'MESH': 'C431364', 'HGNC': '23177', 'EGID': '9817', 'TEXT': 'Keap1'}	C3810577
CPSF4	('HGNC', '2327')	{'UP': 'O95639', 'TEXT': 'nar', 'HGNC': '2327', 'EGID': '10898'}	C1413687
CPT2	('HGNC', '2330')	{'UP': 'P23786', 'TEXT': 'CPT-1', 'HGNC': '2330', 'EGID': '1376'}	C0007262
SLCO4C1	('HGNC', '23612')	{'UP': 'Q6ZQN7', 'TEXT': 'OATP4C1', 'MESH': 'C484530', 'EGID': '353189', 'HGNC': '23612'}	C1428158
PLGRKT	('HGNC', '23633')	{'UP': 'Q9HBL7', 'TEXT': 'KT', 'HGNC': '23633', 'MESH': 'C548063', 'EGID': '55848'}	C0006888
CSF3	('HGNC', '2438')	{'UP': 'P09919', 'TEXT': 'CsF3', 'HGNC': '2438', 'EGID': '1440'}	C0079459
NOC2L	('HGNC', '24517')	{'UP': 'Q9Y3T9', 'TEXT': 'NIR', 'HGNC': '24517', 'MESH': 'C507220', 'EGID': '26155'}	C1826446
FAM126A	('HGNC', '24587')	{'UP': 'Q9BYI3', 'TEXT': 'HCC', 'EGID': '84668', 'HGNC': '24587', 'MESH': 'C412048'}	C2239176
FBLIM1	('HGNC', '24686')	{'UP': 'Q8WUP2', 'TEXT': 'cal', 'EGID': '54751', 'MESH': 'C473794', 'HGNC': '24686'}	C0439259
ZNF699	('HGNC', '24750')	{'UP': 'Q32M78', 'TEXT': 'Hang', 'EGID': '374879', 'HGNC': '24750', 'MESH': 'C515654'}	C0544691
NKX2-5	('HGNC', '2488')	{'UP': 'P52952', 'TEXT': 'Nkx2.5', 'MESH': 'C095552', 'EGID': '1482', 'HGNC': '2488'}	C1413784
CREBZF	('HGNC', '24905')	{'UP': 'Q9NS37', 'TEXT': 'ZF', 'MESH': 'C411104', 'EGID': '58487', 'HGNC': '24905'}	C1824789
CTLA4	('HGNC', '2505')	{'TEXT': 'GSE', 'HGNC': '2505', 'MESH': 'C556706', 'UP': 'P16410', 'EGID': '1493'}	C0007928
CTLA4	('HGNC', '2505')	{'UP': 'P16410', 'TEXT': 'CD', 'HGNC': '2505', 'MESH': 'C556706', 'EGID': '1493'}	C0007928
CTNNB1	('HGNC', '2514')	{'UP': 'P35222', 'HGNC': '2514', 'MESH': 'C495270', 'EGID': '1499', 'TEXT': 'β-catenin'}	C1564904
ANO6	('HGNC', '25240')	{'UP': 'Q4KMQ2', 'TEXT': 'TMEM16F', 'HGNC': '25240', 'EGID': '196527'}	C1428459
CTSG	('HGNC', '2532')	{'UP': 'P08311', 'TEXT': 'CG', 'MESH': 'C534094', 'HGNC': '2532', 'EGID': '1511'}	C0043444
SLC47A1	('HGNC', '25588')	{'UP': 'Q96FL8', 'TEXT': 'hMATE1', 'EGID': '55244', 'HGNC': '25588'}	C1853262
CXADR	('HGNC', '2559')	{'TEXT': 'CAR', 'HGNC': '2559', 'EGID': '1525', 'UP': 'P78310'}	C3540475
CXADR	('HGNC', '2559')	{'UP': 'P78310', 'TEXT': 'hCAR', 'EGID': '1525', 'HGNC': '2559'}	C3540475
GSDMD	('HGNC', '25697')	{'UP': 'P57764', 'TEXT': 'gasdermin D', 'EGID': '79792', 'MESH': 'C498366', 'HGNC': '25697'}	C1539620
CYP19A1	('HGNC', '2594')	{'UP': 'P11511', 'TEXT': 'aromatase', 'MESH': 'C561410', 'EGID': '1588', 'HGNC': '2594'}	C1366496
CYP1A1	('HGNC', '2595')	{'UP': 'P04798', 'TEXT': 'CYP1A1', 'EGID': '1543', 'MESH': 'C569463', 'HGNC': '2595'}	C3252639
CYP1A2	('HGNC', '2596')	{'UP': 'P05177', 'TEXT': 'CYP1A2', 'MESH': 'C504573', 'HGNC': '2596', 'EGID': '1544'}	C0010622
CYP1A2	('HGNC', '2596')	{'UP': 'P05177', 'TEXT': 'CY- P1A2', 'MESH': 'C504573', 'HGNC': '2596', 'EGID': '1544'}	C0010622
CYP1B1	('HGNC', '2597')	{'UP': 'Q16678', 'TEXT': 'CYP1B1', 'EGID': '1545', 'MESH': 'C585496', 'HGNC': '2597'}	C0298987
ADM	('HGNC', '259')	{'UP': 'P35318', 'TEXT': 'ADM', 'HGNC': '259', 'MESH': 'C507862', 'EGID': '133'}	C0215825
C1orf56	('HGNC', '26045')	{'UP': 'Q9BUN1', 'TEXT': 'ment', 'EGID': '54964', 'HGNC': '26045'}	C0084844
CYP2B6	('HGNC', '2615')	{'UP': 'P20813', 'TEXT': 'CYP2B', 'EGID': '1555', 'HGNC': '2615', 'MESH': 'C585599'}	C0534137
CYP2D7	('HGNC', '2624')	{'UP': 'A0A087X1C5', 'TEXT': 'CYP2D', 'HGNC': '2624', 'EGID': '1564'}	C1332830
CYP2D6	('HGNC', '2625')	{'UP': 'P10635', 'TEXT': 'CYP2D6', 'MESH': 'D019389', 'HGNC': '2625', 'EGID': '1565'}	C0057223
CYP2E1	('HGNC', '2631')	{'UP': 'P05181', 'TEXT': 'CYP2E1', 'HGNC': '2631', 'EGID': '1571', 'MESH': 'D019392'}	C1705795
CYP2E1	('HGNC', '2631')	{'UP': 'P05181', 'TEXT': 'Cytochrome P450 2E1', 'HGNC': '2631', 'EGID': '1571', 'MESH': 'D019392'}	C1705795
CYP3A4	('HGNC', '2637')	{'UP': 'P08684', 'TEXT': 'CYP3A4', 'HGNC': '2637', 'MESH': 'C510163', 'EGID': '1576'}	C0010762
CYP3A4	('HGNC', '2637')	{'UP': 'P08684', 'TEXT': 'CYP3A4-', 'HGNC': '2637', 'MESH': 'C510163', 'EGID': '1576'}	C0010762
DUOXA1	('HGNC', '26507')	{'UP': 'Q1HG43', 'TEXT': 'Mol', 'HGNC': '26507', 'EGID': '90527'}	C0324740
DUOXA1	('HGNC', '26507')	{'UP': 'Q1HG43', 'TEXT': 'mol', 'HGNC': '26507', 'EGID': '90527'}	C0324740
CYP7A1	('HGNC', '2651')	{'UP': 'P22680', 'TEXT': 'CYP7A1', 'MESH': 'C553219', 'EGID': '1581', 'HGNC': '2651'}	C2976704
GEN1	('HGNC', '26881')	{'UP': 'Q17RS7', 'TEXT': 'GEN', 'HGNC': '26881', 'MESH': 'C533748', 'EGID': '348654'}	C2239486
GEN1	('HGNC', '26881')	{'UP': 'Q17RS7', 'TEXT': 'gen', 'HGNC': '26881', 'MESH': 'C533748', 'EGID': '348654'}	C2239486
PARP1	('HGNC', '270')	{'UP': 'P09874', 'EGID': '142', 'MESH': 'C499320', 'HGNC': '270', 'TEXT': 'PARP'}	C1567710
PARP1	('HGNC', '270')	{'UP': 'P09874', 'TEXT': 'PARP1', 'EGID': '142', 'MESH': 'C499320', 'HGNC': '270'}	C1567710
DDIT3	('HGNC', '2726')	{'UP': 'P35638', 'MESH': 'D051742', 'HGNC': '2726', 'EGID': '1649', 'TEXT': 'CHOP'}	C1413947
DENR	('HGNC', '2769')	{'UP': 'O43583', 'TEXT': 'H-14', 'HGNC': '2769', 'EGID': '8562', 'MESH': 'C112641'}	C0033727
DFFA	('HGNC', '2772')	{'UP': 'O00273', 'TEXT': 'H-13', 'EGID': '1676', 'HGNC': '2772'}	C1413982
HVCN1	('HGNC', '28240')	{'UP': 'Q96D96', 'TEXT': 'Hv1', 'HGNC': '28240', 'EGID': '84329'}	C1825554
NQO1	('HGNC', '2874')	{'UP': 'P15559', 'TEXT': 'NQO1', 'EGID': '1728', 'MESH': 'C447479', 'HGNC': '2874'}	C4553628
CALCOCO1	('HGNC', '29306')	{'UP': 'Q9P1Z2', 'TEXT': 'cocoa', 'HGNC': '29306', 'MESH': 'C495392', 'EGID': '57658'}	C0006622
DMPK	('HGNC', '2933')	{'UP': 'Q09013', 'TEXT': 'DM', 'MESH': 'C585517', 'EGID': '1760', 'HGNC': '2933'}	C0011816
NAA50	('HGNC', '29533')	{'UP': 'Q9GZZ1', 'TEXT': 'san', 'HGNC': '29533', 'EGID': '80218', 'MESH': 'C520714'}	C1826357
DNMT1	('HGNC', '2976')	{'UP': 'P26358', 'TEXT': 'DNA methyltransferase 1', 'MESH': 'C000619380', 'HGNC': '2976', 'EGID': '1786'}	C0012873
DNMT1	('HGNC', '2976')	{'UP': 'P26358', 'TEXT': 'DNMT1', 'MESH': 'C000619380', 'HGNC': '2976', 'EGID': '1786'}	C0012873
ABCA1	('HGNC', '29')	{'UP': 'O95477', 'TEXT': 'ABCA1', 'MESH': 'C577836', 'HGNC': '29', 'EGID': '19'}	C1412058
PHB2	('HGNC', '30306')	{'UP': 'Q99623', 'TEXT': 'BaP', 'HGNC': '30306', 'EGID': '11331'}	C0312399
MCF2L2	('HGNC', '30319')	{'UP': 'Q86YR7', 'TEXT': 'DRG', 'HGNC': '30319', 'EGID': '23101'}	C0011928
DTNB	('HGNC', '3058')	{'UP': 'O60941', 'TEXT': 'DTNB', 'EGID': '1838', 'MESH': 'C111539', 'HGNC': '3058'}	C0012788
DYRK3	('HGNC', '3094')	{'UP': 'O43781', 'TEXT': 'Red', 'HGNC': '3094', 'MESH': 'C408131', 'EGID': '8444'}	C4049926
TOR1A	('HGNC', '3098')	{'UP': 'O14656', 'TEXT': 'TA', 'MESH': 'C108175', 'HGNC': '3098', 'EGID': '1861'}	C0039297
SLC9C1	('HGNC', '31401')	{'UP': 'Q4G0N8', 'TEXT': 'NHE', 'HGNC': '31401', 'EGID': '285335'}	C0074785
TYMP	('HGNC', '3148')	{'UP': 'P19971', 'TEXT': 'TP', 'EGID': '1890', 'MESH': 'C543750', 'HGNC': '3148'}	C0036183
AGER	('HGNC', '320')	{'UP': 'Q15109', 'EGID': '177', 'MESH': 'C000593871', 'HGNC': '320', 'TEXT': 'RAGE'}	C0034634
EGF	('HGNC', '3229')	{'UP': 'P01133', 'EGID': '1950', 'MESH': 'D004815', 'HGNC': '3229', 'TEXT': 'EGF'}	C0242275
EGFR	('HGNC', '3236')	{'UP': 'P00533', 'MESH': 'C512478', 'EGID': '1956', 'HGNC': '3236', 'TEXT': 'EGFR'}	C0684010
EP300	('HGNC', '3373')	{'UP': 'Q09472', 'TEXT': 'P300', 'HGNC': '3373', 'EGID': '2033', 'MESH': 'C494360'}	C1530358
EPHA2	('HGNC', '3386')	{'UP': 'P29317', 'TEXT': 'eck', 'EGID': '1969', 'HGNC': '3386'}	C1333337
EPHA3	('HGNC', '3387')	{'UP': 'P29320', 'TEXT': 'HEK', 'MESH': 'C491718', 'EGID': '2042', 'HGNC': '3387'}	C1452792
INPP5K	('HGNC', '33882')	{'UP': 'Q9BT40', 'TEXT': 'PPs', 'EGID': '51763', 'HGNC': '33882'}	C0071649
INPP5K	('HGNC', '33882')	{'UP': 'Q9BT40', 'TEXT': 'polyphenols', 'EGID': '51763', 'HGNC': '33882'}	C0071649
NPS	('HGNC', '33940')	{'UP': 'P0C0P6', 'TEXT': 'NPs', 'HGNC': '33940', 'EGID': '594857'}	C0027341
EPO	('HGNC', '3415')	{'UP': 'P01588', 'TEXT': 'erythropoietin', 'EGID': '2056', 'MESH': 'C554270', 'HGNC': '3415'}	C4321526
ESR1	('HGNC', '3467')	{'UP': 'P03372', 'HGNC': '3467', 'EGID': '2099', 'TEXT': 'ER'}	C0034804
AHR	('HGNC', '348')	{'UP': 'P35869', 'HGNC': '348', 'MESH': 'C111235', 'EGID': '196', 'TEXT': 'AHR'}	C0052441
